assembly_id_simp,Contig_number,assembly_id,assembly_name,organism_name,organism_name_breed,strain,cultivar,ecotype,isolate,annotation_name,seq_length,assembly_level,release_date,wgs_project,contig_n50,scaffold_n50,sequencing_tech,submitter,bioproject,biosample,genes,protein_coding_genes,pseudogenes,checkM_marker_set,checkM_completeness,checkM_contamination,genome_id,phylogroup,assembly_ID
GCA_000616425,178,GCA_000616425.2,Ec2011EL-2091,Escherichia coli O157:H7 str. 2011EL-2091,NA,2011EL-2091,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5351544,Scaffold,2014-04-07T00:00:00Z,NA,144824,148285,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353039,5100,4947,52,Escherichia coli,99.19,0.15,GCA_000616425.2_Ec2011EL-2091_genomic,E,NA
GCA_000777815,88,GCA_000777815.1,ASM77781v1,Escherichia coli,NA,upec-266,NA,NA,NA,NA,4991941,Scaffold,2014-11-13T00:00:00Z,NA,61917,217164,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02802093,NA,NA,NA,Escherichia coli,98.35,0.28,GCA_000777815.1_ASM77781v1_genomic,B2,NA
GCA_000616705,175,GCA_000616705.2,Ec2011EL-2099,Escherichia coli O157:H7 str. 2011EL-2099,NA,2011EL-2099,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5349261,Scaffold,2014-04-07T00:00:00Z,NA,146400,148681,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353046,5096,4938,57,Escherichia coli,99.19,0.15,GCA_000616705.2_Ec2011EL-2099_genomic,E,NA
GCA_000352405,4,GCA_000352405.1,Esch_coli_KTE65_V1,Escherichia coli KTE65,NA,KTE65,NA,NA,NA,Annotation submitted by Broad Institute,5182215,Scaffold,2013-04-05T00:00:00Z,NA,255985,3889032,Illumina,Broad Institute,PRJNA164887,SAMN00854624,4940,4859,1,Escherichia coli,98.95,0.89,GCA_000352405.1_Esch_coli_KTE65_V1_genomic,B2,NA
GCA_000026325,3,GCA_000026325.2,ASM2632v2,Escherichia coli UMN026,NA,UMN026,NA,NA,NA,Annotation submitted by Genoscope,5358200,Chromosome,2008-12-18T00:00:00Z,NA,5202090,5202090,NA,Genoscope,PRJNA33415,SAMEA3138233,5301,5017,90,Escherichia coli,98.97,0.75,GCA_000026325.2_ASM2632v2_genomic,D,NA
GCA_000753315,97,GCA_000753315.1,FHI35,Escherichia coli,NA,E. coli,NA,NA,NA,NA,5044340,Scaffold,2014-09-06T00:00:00Z,NA,97286,166738,NA,NTNU,PRJEB6447,SAMEA2593918,NA,NA,NA,Escherichia coli,99.56,0.63,GCA_000753315.1_FHI35_genomic,B1,NA
GCA_000777895,127,GCA_000777895.1,ASM77789v1,Escherichia coli,NA,upec-260,NA,NA,NA,NA,5235290,Scaffold,2014-11-13T00:00:00Z,NA,73388,216237,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02802087,NA,NA,NA,Escherichia coli,98.29,0.22,GCA_000777895.1_ASM77789v1_genomic,B2,NA
GCA_000460915,16,GCA_000460915.1,Esch_coli_UMEA_3220-1_V1,Escherichia coli UMEA 3220-1,NA,UMEA 3220-1,NA,NA,NA,Annotation submitted by Broad Institute,5158014,Scaffold,2013-08-29T00:00:00Z,NA,299632,800382,Illumina,Broad Institute,PRJNA186324,SAMN01885934,4854,4749,1,Escherichia coli,99.24,0.21,GCA_000460915.1_Esch_coli_UMEA_3220-1_V1_genomic,B2,NA
GCA_000457185,7,GCA_000457185.1,Esch_coli_HVH_84_4-1021478_V1,Escherichia coli HVH 84 (4-1021478),NA,HVH 84 (4-1021478),NA,NA,NA,Annotation submitted by Broad Institute,5241971,Scaffold,2013-08-29T00:00:00Z,NA,361776,3349286,Illumina,Broad Institute,PRJNA186106,SAMN01885733,4994,4890,1,Escherichia coli,99.02,0.82,GCA_000457185.1_Esch_coli_HVH_84_4-1021478_V1_genomic,B2,NA
GCA_000459115,3,GCA_000459115.1,Esch_coli_HVH_203_4-3126218_V1,Escherichia coli HVH 203 (4-3126218),NA,HVH 203 (4-3126218),NA,NA,NA,Annotation submitted by Broad Institute,5030945,Scaffold,2013-08-29T00:00:00Z,NA,417931,3730127,Illumina,Broad Institute,PRJNA186230,SAMN01885842,4760,4671,1,Escherichia coli,99.02,0.5,GCA_000459115.1_Esch_coli_HVH_203_4-3126218_V1_genomic,B2,NA
GCA_000457835,19,GCA_000457835.1,Esch_coli_HVH_126_4-6034225_V1,Escherichia coli HVH 126 (4-6034225),NA,HVH 126 (4-6034225),NA,NA,NA,Annotation submitted by Broad Institute,5595207,Scaffold,2013-08-29T00:00:00Z,NA,239623,2816260,Illumina,Broad Institute,PRJNA186146,SAMN01885773,5387,5286,1,Escherichia coli,99,0.65,GCA_000457835.1_Esch_coli_HVH_126_4-6034225_V1_genomic,B2,NA
GCA_000457855,18,GCA_000457855.1,Esch_coli_HVH_127_4-7303629_V1,Escherichia coli HVH 127 (4-7303629),NA,HVH 127 (4-7303629),NA,NA,NA,Annotation submitted by Broad Institute,5269607,Scaffold,2013-08-29T00:00:00Z,NA,239466,3217953,Illumina,Broad Institute,PRJNA186147,SAMN01885774,4967,4868,1,Escherichia coli,99.22,0.31,GCA_000457855.1_Esch_coli_HVH_127_4-7303629_V1_genomic,B2,NA
GCA_000460215,13,GCA_000460215.1,Esch_coli_UMEA_3121-1_V1,Escherichia coli UMEA 3121-1,NA,UMEA 3121-1,NA,NA,NA,Annotation submitted by Broad Institute,5371335,Scaffold,2013-08-29T00:00:00Z,NA,289036,1045796,Illumina,Broad Institute,PRJNA186288,SAMN01885898,5078,4971,1,Escherichia coli,98.83,0.46,GCA_000460215.1_Esch_coli_UMEA_3121-1_V1_genomic,B2,NA
GCA_000352045,11,GCA_000352045.1,Esch_coli_KTE171_V1,Escherichia coli KTE171,NA,KTE171,NA,NA,NA,Annotation submitted by Broad Institute,4859600,Scaffold,2013-04-05T00:00:00Z,NA,206689,1868417,Illumina,Broad Institute,PRJNA165019,SAMN00854690,4621,4540,1,Escherichia coli,98.83,0.47,GCA_000352045.1_Esch_coli_KTE171_V1_genomic,A,NA
GCA_000461595,10,GCA_000461595.1,Esch_coli_UMEA_3702-1_V1,Escherichia coli UMEA 3702-1,NA,UMEA 3702-1,NA,NA,NA,Annotation submitted by Broad Institute,5072784,Scaffold,2013-08-29T00:00:00Z,NA,358587,1410366,Illumina,Broad Institute,PRJNA186368,SAMN01885977,4807,4708,1,Escherichia coli,99.18,0.53,GCA_000461595.1_Esch_coli_UMEA_3702-1_V1_genomic,B2,NA
GCA_000615415,220,GCA_000615415.2,Ec2010C-3526,Escherichia coli O145:NM str. 2010C-3526,NA,2010C-3526,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5433451,Scaffold,2014-04-07T00:00:00Z,NA,115329,133161,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02352974,5201,5004,97,Escherichia coli,99.01,0.62,GCA_000615415.2_Ec2010C-3526_genomic,D,NA
GCA_000488655,185,GCA_000488655.1,ASM48865v1,Escherichia coli 908585,NA,908585,NA,NA,NA,Annotation submitted by Washington University,5049556,Scaffold,2013-10-29T00:00:00Z,NA,42027,132588,Illumina,Washington University,PRJNA183822,SAMN02436732,5375,5265,NA,Escherichia coli,99.03,0.52,GCA_000488655.1_ASM48865v1_genomic,D,NA
GCA_000458745,23,GCA_000458745.1,Esch_coli_HVH_184_4-3343286_V1,Escherichia coli HVH 184 (4-3343286),NA,HVH 184 (4-3343286),NA,NA,NA,Annotation submitted by Broad Institute,5426841,Scaffold,2013-08-29T00:00:00Z,NA,290112,1436568,Illumina,Broad Institute,PRJNA186210,SAMN01885823,5308,5193,2,Escherichia coli,99.1,0.78,GCA_000458745.1_Esch_coli_HVH_184_4-3343286_V1_genomic,B2,NA
GCA_000692715,12,GCA_000692715.1,Esch_coli_CHS_69_V1,Escherichia coli CHS 69,NA,CHS 69,NA,NA,NA,Annotation submitted by Broad Institute,5388736,Scaffold,2014-05-19T00:00:00Z,NA,231547,3008490,Illumina,Broad Institute,PRJNA234238,SAMN02581371,5098,5010,1,Escherichia coli,99.02,0.65,GCA_000692715.1_Esch_coli_CHS_69_V1_genomic,B2,NA
GCA_000493595,4,GCA_000493595.1,EcoPMV1,Escherichia coli PMV-1,NA,PMV-1,NA,NA,NA,Annotation submitted by ULB,5210927,Complete Genome,2013-09-27T00:00:00Z,NA,4984940,4984940,NA,ULB,PRJEB4437,SAMEA2272347,5116,4843,NA,Escherichia coli,98.63,0.26,GCA_000493595.1_EcoPMV1_genomic,B2,NA
GCA_000776995,135,GCA_000776995.1,ASM77699v1,Escherichia coli,NA,upec-50,NA,NA,NA,NA,5080900,Scaffold,2014-11-13T00:00:00Z,NA,109136,147477,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02802142,NA,NA,NA,Escherichia coli,98.99,0.57,GCA_000776995.1_ASM77699v1_genomic,B2,NA
GCA_000458875,18,GCA_000458875.1,Esch_coli_HVH_191_3-9341900_V1,Escherichia coli HVH 191 (3-9341900),NA,HVH 191 (3-9341900),NA,NA,NA,Annotation submitted by Broad Institute,5370015,Scaffold,2013-08-29T00:00:00Z,NA,326055,626685,Illumina,Broad Institute,PRJNA186217,SAMN01885830,5140,5056,1,Escherichia coli,99.18,0.64,GCA_000458875.1_Esch_coli_HVH_191_3-9341900_V1_genomic,B2,NA
GCA_000616305,197,GCA_000616305.2,Ec2011C-3632,Escherichia coli O111:NM str. 2011C-3632,NA,2011C-3632,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5214964,Scaffold,2014-04-07T00:00:00Z,NA,99462,103903,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353032,5086,4878,94,Escherichia coli,99.04,0.72,GCA_000616305.2_Ec2011C-3632_genomic,B1,NA
GCA_000461815,16,GCA_000461815.1,Esch_coli_UMEA_3955-1_V1,Escherichia coli UMEA 3955-1,NA,UMEA 3955-1,NA,NA,NA,Annotation submitted by Broad Institute,5417113,Scaffold,2013-08-29T00:00:00Z,NA,236778,655652,Illumina,Broad Institute,PRJNA186379,SAMN01885988,5145,5049,1,Escherichia coli,99.2,0.48,GCA_000461815.1_Esch_coli_UMEA_3955-1_V1_genomic,B2,NA
GCA_000618705,198,GCA_000618705.2,EcK5198,Escherichia coli O121:H19 str. K5198,NA,K5198,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5128652,Scaffold,2014-04-08T00:00:00Z,NA,122243,139901,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353107,4892,4714,81,Escherichia coli,99.16,0.34,GCA_000618705.2_EcK5198_genomic,B1,NA
GCA_000692555,11,GCA_000692555.1,Esch_coli_BIDMC_73_V1,Escherichia coli BIDMC 73,NA,BIDMC 73,NA,NA,NA,Annotation submitted by Broad Institute,5076195,Scaffold,2014-05-19T00:00:00Z,NA,299922,3378647,Illumina,Broad Institute,PRJNA234161,SAMN02581294,4874,4771,1,Escherichia coli,98.61,0.38,GCA_000692555.1_Esch_coli_BIDMC_73_V1_genomic,B2,NA
GCA_000494995,14,GCA_000494995.1,Esch_coli_HVH_136_4-5970458_V1,Escherichia coli HVH 136 (4-5970458),NA,HVH 136 (4-5970458),NA,NA,NA,Annotation submitted by Broad Institute,5437587,Scaffold,2013-11-01T00:00:00Z,NA,269680,700104,Illumina,Broad Institute,PRJNA186161,SAMN01885781,5161,5065,1,Escherichia coli,99.21,0.91,GCA_000494995.1_Esch_coli_HVH_136_4-5970458_V1_genomic,D,NA
GCA_000692695,15,GCA_000692695.1,Esch_coli_CHS_68_V1,Escherichia coli CHS 68,NA,CHS 68,NA,NA,NA,Annotation submitted by Broad Institute,5276584,Scaffold,2014-05-19T00:00:00Z,NA,704233,2930783,Illumina,Broad Institute,PRJNA234237,SAMN02581370,5060,4963,1,Escherichia coli,98.45,0.79,GCA_000692695.1_Esch_coli_CHS_68_V1_genomic,B2,NA
GCA_000407965,18,GCA_000407965.1,Esch_coli_KTE36_V1,Escherichia coli KTE36,NA,KTE36,NA,NA,NA,Annotation submitted by Broad Institute,5318624,Scaffold,2013-06-04T00:00:00Z,NA,202058,600093,Illumina,Broad Institute,PRJNA157625,SAMN00847671,5178,5081,1,Escherichia coli,98.97,0.56,GCA_000407965.1_Esch_coli_KTE36_V1_genomic,F,NA
GCA_000008865,3,GCA_000008865.2,ASM886v2,Escherichia coli O157:H7 str. Sakai,NA,Sakai substr. RIMD 0509952,NA,NA,NA,Annotation submitted by GIRC,5594605,Complete Genome,2018-06-08T00:00:00Z,NA,5498578,5498578,NA,GIRC,PRJNA226,SAMN01911278,5375,5113,136,Escherichia coli,99.51,0.15,GCA_000008865.2_ASM886v2_genomic,E,NA
GCA_000461075,13,GCA_000461075.1,Esch_coli_UMEA_3264-1_V1,Escherichia coli UMEA 3264-1,NA,UMEA 3264-1,NA,NA,NA,Annotation submitted by Broad Institute,5210973,Scaffold,2013-08-29T00:00:00Z,NA,259218,1367870,Illumina,Broad Institute,PRJNA186334,SAMN01885943,4898,4809,1,Escherichia coli,99.23,0.22,GCA_000461075.1_Esch_coli_UMEA_3264-1_V1_genomic,B2,NA
GCA_000488415,125,GCA_000488415.1,ASM48841v1,Escherichia coli 907710,NA,907710,NA,NA,NA,Annotation submitted by Washington University,4780859,Scaffold,2013-10-29T00:00:00Z,NA,45535,193518,Illumina,Washington University,PRJNA183808,SAMN02436877,5006,4899,NA,Escherichia coli,98.79,0.5,GCA_000488415.1_ASM48841v1_genomic,B1,NA
GCA_000616135,193,GCA_000616135.2,Ec2011C-3216,Escherichia coli O121:H19 str. 2011C-3216,NA,2011C-3216,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5213493,Scaffold,2014-04-07T00:00:00Z,NA,135113,135113,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353018,5009,4829,80,Escherichia coli,99.07,0.34,GCA_000616135.2_Ec2011C-3216_genomic,B1,NA
GCA_000460715,6,GCA_000460715.1,Esch_coli_UMEA_3199-1_V1,Escherichia coli UMEA 3199-1,NA,UMEA 3199-1,NA,NA,NA,Annotation submitted by Broad Institute,4916137,Scaffold,2013-08-29T00:00:00Z,NA,222503,3559511,Illumina,Broad Institute,PRJNA186314,SAMN01885924,4722,4629,1,Escherichia coli,98.88,0.19,GCA_000460715.1_Esch_coli_UMEA_3199-1_V1_genomic,A,NA
GCA_000622755,212,GCA_000622755.2,Ec2009C-3689,Escherichia coli O26:H11 str. 2009C-3689,NA,2009C-3689,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5267417,Scaffold,2014-04-09T00:00:00Z,NA,100197,102615,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02352936,5061,4861,97,Escherichia coli,99.17,0.68,GCA_000622755.2_Ec2009C-3689_genomic,B1,NA
GCA_000614215,198,GCA_000614215.2,Ec2011C-3108,Escherichia coli O121:H19 str. 2011C-3108,NA,2011C-3108,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5142917,Scaffold,2014-04-07T00:00:00Z,NA,122006,122316,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353016,4926,4739,82,Escherichia coli,99.26,0.7,GCA_000614215.2_Ec2011C-3108_genomic,B1,NA
GCA_000458765,11,GCA_000458765.1,Esch_coli_HVH_185_4-2876639_V1,Escherichia coli HVH 185 (4-2876639),NA,HVH 185 (4-2876639),NA,NA,NA,Annotation submitted by Broad Institute,5213627,Scaffold,2013-08-29T00:00:00Z,NA,288312,1579288,Illumina,Broad Institute,PRJNA186211,SAMN01885824,4928,4836,1,Escherichia coli,99.21,0.38,GCA_000458765.1_Esch_coli_HVH_185_4-2876639_V1_genomic,B2,NA
GCA_000457165,14,GCA_000457165.1,Esch_coli_HVH_82_4-2209276_V1,Escherichia coli HVH 82 (4-2209276),NA,HVH 82 (4-2209276),NA,NA,NA,Annotation submitted by Broad Institute,5331638,Scaffold,2013-08-29T00:00:00Z,NA,246322,2867517,Illumina,Broad Institute,PRJNA186104,SAMN01885731,5099,5004,1,Escherichia coli,99.31,0.48,GCA_000457165.1_Esch_coli_HVH_82_4-2209276_V1_genomic,C,NA
GCA_000408285,18,GCA_000408285.1,Esch_coli_KTE226_V1,Escherichia coli KTE226,NA,KTE226,NA,NA,NA,Annotation submitted by Broad Institute,5136539,Scaffold,2013-06-04T00:00:00Z,NA,352987,661789,Illumina,Broad Institute,PRJNA163465,SAMN00974081,4803,4720,1,Escherichia coli,99.06,0.53,GCA_000408285.1_Esch_coli_KTE226_V1_genomic,B2,NA
GCA_000418735,166,GCA_000418735.2,E_coliAB42554418-isolate1-1.0,Escherichia coli AB42554418-isolate1,NA,AB42554418-isolate1,NA,NA,NA,NA,5016789,Scaffold,2013-07-08T00:00:00Z,NA,100958,200016,Illumina,The Genome Institute,PRJNA203078,SAMN02436903,NA,NA,NA,Escherichia coli,99.36,0.92,GCA_000418735.2_E_coliAB42554418-isolate1-1.0_genomic,D,NA
GCA_000458235,11,GCA_000458235.1,Esch_coli_HVH_150_4-3258106_V1,Escherichia coli HVH 150 (4-3258106),NA,HVH 150 (4-3258106),NA,NA,NA,Annotation submitted by Broad Institute,5143542,Scaffold,2013-08-29T00:00:00Z,NA,223177,3217924,Illumina,Broad Institute,PRJNA186182,SAMN01885795,4806,4720,1,Escherichia coli,99.48,0.35,GCA_000458235.1_Esch_coli_HVH_150_4-3258106_V1_genomic,C,NA
GCA_000458495,8,GCA_000458495.1,Esch_coli_HVH_164_4-5953081_V1,Escherichia coli HVH 164 (4-5953081),NA,HVH 164 (4-5953081),NA,NA,NA,Annotation submitted by Broad Institute,4684494,Scaffold,2013-08-29T00:00:00Z,NA,205650,3414105,Illumina,Broad Institute,PRJNA186196,SAMN01885809,4416,4320,1,Escherichia coli,99.46,0.3,GCA_000458495.1_Esch_coli_HVH_164_4-5953081_V1_genomic,A,NA
GCA_000614885,182,GCA_000614885.2,Ec2010C-4979C1,Escherichia coli O157:H7 str. 2010C-4979C1,NA,2010C-4979C1,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5186656,Scaffold,2014-04-07T00:00:00Z,NA,122419,142314,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353007,4888,4712,78,Escherichia coli,99.02,0.15,GCA_000614885.2_Ec2010C-4979C1_genomic,E,NA
GCA_000488075,12,GCA_000488075.1,Esch_coli_UMEA_3426-1_V1,Escherichia coli UMEA 3426-1,NA,UMEA 3426-1,NA,NA,NA,Annotation submitted by Broad Institute,5156218,Scaffold,2013-10-29T00:00:00Z,NA,361337,1303639,Illumina,Broad Institute,PRJNA186352,SAMN01885961,4850,4764,1,Escherichia coli,98.81,0.59,GCA_000488075.1_Esch_coli_UMEA_3426-1_V1_genomic,B2,NA
GCA_000752915,277,GCA_000752915.1,FHI77,Escherichia coli,NA,E. coli,NA,NA,NA,NA,5321694,Scaffold,2014-09-06T00:00:00Z,NA,92006,100517,NA,NTNU,PRJEB6447,SAMEA2593957,NA,NA,NA,Escherichia coli,99.31,0.71,GCA_000752915.1_FHI77_genomic,B1,NA
GCA_000351525,4,GCA_000351525.1,Esch_coli_KTE56_V1,Escherichia coli KTE56,NA,KTE56,NA,NA,NA,Annotation submitted by Broad Institute,4826050,Scaffold,2013-04-05T00:00:00Z,NA,191962,4774129,Illumina,Broad Institute,PRJNA164869,SAMN00854615,4579,4489,1,Escherichia coli,98.97,0.19,GCA_000351525.1_Esch_coli_KTE56_V1_genomic,A,NA
GCA_000233895,1,GCA_000233895.1,ASM23389v1,Escherichia coli str. 'clone D i14',NA,clone D i14,NA,NA,NA,"Annotation submitted by TEDA School of Biological Sciences and Biotechnology, Nankai University",5038386,Complete Genome,2011-11-03T00:00:00Z,NA,5038386,5038386,NA,"TEDA School of Biological Sciences and Biotechnology, Nankai University",PRJNA52023,SAMN02603903,5049,4919,20,Escherichia coli,99.24,0.21,GCA_000233895.1_ASM23389v1_genomic,B2,NA
GCA_000618245,193,GCA_000618245.1,EcH2495,Escherichia coli O157:H7 str. H2495,NA,H2495,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5332957,Scaffold,2014-04-08T00:00:00Z,NA,144824,148160,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353084,5061,4910,54,Escherichia coli,99.51,0.15,GCA_000618245.1_EcH2495_genomic,E,NA
GCA_000457795,14,GCA_000457795.1,Esch_coli_HVH_122_4-6851606_V1,Escherichia coli HVH 122 (4-6851606),NA,HVH 122 (4-6851606),NA,NA,NA,Annotation submitted by Broad Institute,5328570,Scaffold,2013-08-29T00:00:00Z,NA,499812,902551,Illumina,Broad Institute,PRJNA186144,SAMN01885771,5115,5012,1,Escherichia coli,98.99,0.71,GCA_000457795.1_Esch_coli_HVH_122_4-6851606_V1_genomic,D,NA
GCA_000261385,13,GCA_000261385.1,Esch_coli_B799_V1,Escherichia coli B799,NA,B799,NA,NA,NA,Annotation submitted by Broad Institute,5393412,Scaffold,2012-08-10T00:00:00Z,NA,236398,1426546,Illumina,Broad Institute,PRJNA38929,SAMN02596895,5203,5114,1,Escherichia coli,99.56,0.31,GCA_000261385.1_Esch_coli_B799_V1_genomic,B1,NA
GCA_000351125,12,GCA_000351125.1,Esch_coli_KTE208_V1,Escherichia coli KTE208,NA,KTE208,NA,NA,NA,Annotation submitted by Broad Institute,5355119,Scaffold,2013-04-05T00:00:00Z,NA,253306,726648,Illumina,Broad Institute,PRJNA163429,SAMN00974063,5120,5043,1,Escherichia coli,98.66,0.73,GCA_000351125.1_Esch_coli_KTE208_V1_genomic,D,NA
GCA_000460055,16,GCA_000460055.1,Esch_coli_UMEA_3053-1_V1,Escherichia coli UMEA 3053-1,NA,UMEA 3053-1,NA,NA,NA,Annotation submitted by Broad Institute,5202484,Scaffold,2013-08-29T00:00:00Z,NA,296595,836829,Illumina,Broad Institute,PRJNA186280,SAMN01885890,4866,4769,1,Escherichia coli,98.88,0.36,GCA_000460055.1_Esch_coli_UMEA_3053-1_V1_genomic,B2,NA
GCA_000622595,269,GCA_000622595.2,Ec2009C-3996,Escherichia coli O26:H11 str. 2009C-3996,NA,2009C-3996,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5493116,Scaffold,2014-04-09T00:00:00Z,NA,92214,104012,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02352939,5364,5169,78,Escherichia coli,99.45,0.73,GCA_000622595.2_Ec2009C-3996_genomic,B1,NA
GCA_000458315,9,GCA_000458315.1,Esch_coli_HVH_155_4-4509048_V1,Escherichia coli HVH 155 (4-4509048),NA,HVH 155 (4-4509048),NA,NA,NA,Annotation submitted by Broad Institute,5272080,Scaffold,2013-08-29T00:00:00Z,NA,651823,3591830,Illumina,Broad Institute,PRJNA186187,SAMN01885800,5030,4936,1,Escherichia coli,98.99,0.74,GCA_000458315.1_Esch_coli_HVH_155_4-4509048_V1_genomic,D,NA
GCA_000459815,8,GCA_000459815.1,Esch_coli_KOEGE_68_182a_V1,Escherichia coli KOEGE 68 (182a),NA,KOEGE 68 (182a),NA,NA,NA,Annotation submitted by Broad Institute,5057814,Scaffold,2013-08-29T00:00:00Z,NA,618480,4357008,Illumina,Broad Institute,PRJNA186268,SAMN01885878,4709,4596,1,Escherichia coli,99.05,0.28,GCA_000459815.1_Esch_coli_KOEGE_68_182a_V1_genomic,D,NA
