assembly_id_simp,Contig_number
GCA_000614725,198
GCA_000632615,203
GCA_000352905,5
GCA_000407845,24
GCA_000692755,14
GCA_000488535,165
GCA_000460955,24
GCA_000456345,4
GCA_000465155,8
GCA_000163155,37
GCA_000215165,19
GCA_000616485,189
GCA_000615605,212
GCA_000460335,11
GCA_000461515,10
GCA_000461175,26
GCA_000458935,7
GCA_000461435,22
GCA_000304875,413
GCA_000408765,10
GCA_000614645,193
GCA_000765435,5
GCA_000619725,112
GCA_000267245,500
GCA_000459835,15
GCA_000460395,10
GCA_000267205,370
GCA_000622485,274
GCA_000303955,310
GCA_000408085,11
GCA_000458535,13
GCA_000459475,25
GCA_000616665,259
GCA_000353065,9
GCA_000305395,358
GCA_000303455,390
GCA_000351645,5
GCA_000460155,38
GCA_000459375,17
GCA_000618005,1
GCA_000507625,18
GCA_000777655,102
GCA_000752195,162
GCA_000778485,116
GCA_000146735,1
GCA_000267625,356
GCA_000776045,64
GCA_000351945,11
GCA_000351385,17
GCA_000460775,20
GCA_000351305,15
GCA_000303615,389
GCA_000752975,155
GCA_000456305,16
GCA_000725305,1
GCA_000460655,9
GCA_000352025,13
GCA_000614925,199
GCA_000351985,3
GCA_000752495,186
GCA_000618225,212
GCA_000456205,11
GCA_000285655,3
GCA_000316485,362
GCA_000488375,127
GCA_000778135,102
GCA_000456825,5
GCA_000460635,17
GCA_000488695,154
GCA_000460195,7
GCA_000493755,6
GCA_000407665,15
GCA_000460615,19
GCA_000408385,19
GCA_000461655,18
GCA_000471145,395
GCA_000778075,125
GCA_000460135,8
GCA_000458625,9
GCA_000267825,492
GCA_000461035,15
GCA_000460295,10
GCA_000776415,120
GCA_000457105,16
GCA_000777285,59
GCA_000267265,372
GCA_000350985,13
GCA_000352585,2
GCA_000191015,33
GCA_000615785,189
GCA_000488615,114
GCA_000488555,140
GCA_000351265,13
GCA_000619645,192
GCA_000752355,224
GCA_000778435,142
GCA_000459635,9
GCA_000148365,2
GCA_000456465,15
GCA_000456565,13
GCA_000752435,188
GCA_000507645,8
GCA_000461295,12
GCA_000351745,28
GCA_000460455,16
GCA_000752775,159
GCA_000458215,15
GCA_000458915,4
GCA_000507605,18
GCA_000692735,7
GCA_000776355,123
GCA_000456145,6
GCA_000350785,29
GCA_000350765,13
GCA_000267925,428
GCA_000458415,12
GCA_000773535,163
GCA_000459055,15
GCA_000599665,1
GCA_000459255,10
GCA_000776055,96
GCA_000459715,11
GCA_000460575,11
GCA_000456405,15
GCA_000304135,294
GCA_000778095,102
GCA_000617765,222
GCA_000777195,51
GCA_000457085,58
GCA_000350745,13
GCA_000456705,8
GCA_000461115,19
GCA_000495035,53
GCA_000622775,288
GCA_000026345,1
GCA_000457045,15
GCA_000614085,193
GCA_000460275,21
GCA_000692615,10
GCA_000456085,6
GCA_000308975,1
GCA_000458035,47
GCA_000492255,15
GCA_000350825,11
GCA_000732965,2
GCA_000753515,152
GCA_000619765,190
GCA_000471445,410
GCA_000753535,93
GCA_000456485,6
GCA_000488295,196
GCA_000460375,19
GCA_000167875,6
GCA_000457955,5
GCA_000461355,9
GCA_000460495,7
GCA_000407745,18
GCA_000258145,3
GCA_000350965,10
GCA_000352265,6
GCA_000777325,80
GCA_000618065,182
GCA_000352145,8
GCA_000458665,13
GCA_000303975,402
GCA_000460255,9
GCA_000458175,7
GCA_000460735,12
GCA_000261145,21
GCA_000351765,8
GCA_000662395,3
GCA_000010245,1
GCA_001615195,60
GCA_000785325,96
GCA_000831565,2
GCA_001286105,163
GCA_001286325,151
GCA_002286435,226
GCA_002166535,163
GCA_002109865,36
GCA_001030365,8
GCA_000780415,65
GCA_001576025,63
GCA_001677515,2
GCA_000779585,90
GCA_000974405,1
GCA_002163935,2
GCA_000781695,125
GCA_001607415,110
GCA_001285125,202
GCA_001891615,237
GCA_002166375,123
GCA_001309995,189
GCA_002245085,4
GCA_001186315,127
GCA_001283605,162
GCA_001616045,116
GCA_000987875,1
GCA_001286065,106
GCA_001281885,217
GCA_002259555,4
GCA_001645235,3
GCA_001054095,151
GCA_002165115,7
GCA_002207505,235
GCA_001286685,131
GCA_001900885,1
GCA_001753565,2
GCA_002286445,183
GCA_001683435,1
GCA_000778725,62
GCA_002270155,126
GCA_001077955,48
GCA_001606515,184
GCA_002244705,14
GCA_002156825,3
GCA_000782575,96
GCA_002207065,79
GCA_002166075,173
GCA_002164645,5
GCA_002244015,11
GCA_001890325,2
GCA_002192295,4
GCA_002180135,5
GCA_001284965,169
GCA_001892565,158
GCA_001563405,197
GCA_002087815,6
GCA_002286545,212
GCA_002247905,19
GCA_001309885,225
GCA_002310555,4
GCA_001576465,109
GCA_001262795,108
GCA_001900335,1
GCA_001892445,150
GCA_001076105,203
GCA_001607875,280
GCA_000781255,55
GCA_002243755,9
GCA_001285585,142
GCA_000781005,98
GCA_001753525,2
GCA_001030585,13
GCA_001575275,85
GCA_001660565,3
GCA_002165055,143
GCA_001900295,1
GCA_001576205,113
GCA_001900655,2
GCA_001893155,283
GCA_001616535,68
GCA_001566615,2
GCA_002270255,135
GCA_002164635,4
GCA_000801185,2
GCA_002215095,2
GCA_001874485,4
GCA_000965575,216
GCA_001900905,1
GCA_001645225,4
GCA_002110555,79
GCA_000780695,87
GCA_002243925,13
GCA_000780455,94
GCA_002166025,226
GCA_001286245,83
GCA_001277715,159
GCA_001297995,221
GCA_002056065,3
GCA_000965565,239
GCA_001888075,5
GCA_000988425,1
GCA_000780535,131
GCA_000782055,182
GCA_001309925,197
GCA_002245095,20
GCA_001576235,70
GCA_001283805,219
GCA_001285565,74
GCA_001695515,2
GCA_001281795,243
GCA_000779895,88
GCA_000781235,69
GCA_002125925,2
GCA_002310735,6
GCA_001607105,215
GCA_002223845,59
GCA_000779155,100
GCA_001284385,96
GCA_000782255,100
GCA_000779795,99
GCA_002207625,146
GCA_000782715,127
GCA_001651945,2
GCA_002317695,106
GCA_000781775,98
GCA_001606895,129
GCA_000966935,146
GCA_002244455,5
GCA_001283225,124
GCA_002206685,70
GCA_001891625,211
GCA_000965715,210
GCA_000781275,123
GCA_002244205,9
GCA_002110225,137
GCA_002244605,12
GCA_002166405,151
GCA_002246595,12
GCA_002109655,38
GCA_001576015,123
GCA_000830035,1
GCA_002244465,26
GCA_001708145,102
GCA_001997075,83
GCA_002285755,2
GCA_001575695,94
GCA_002243765,7
GCA_001615375,66
GCA_001616205,40
GCA_002379265,18
GCA_001970035,82
GCA_002006525,117
GCA_001280345,6
GCA_002223465,89
GCA_001865915,58
GCA_001900495,2
GCA_000778685,91
GCA_001677475,3
GCA_001677865,123
GCA_000782595,86
GCA_001648915,59
GCA_000779975,154
GCA_000988385,1
GCA_000965635,181
GCA_001900415,1
GCA_001891785,221
GCA_002163195,12
GCA_001277515,152
GCA_002166175,195
GCA_001039215,38
GCA_002244535,10
GCA_002154075,116
GCA_001283945,107
GCA_001891315,205
GCA_000803705,2
GCA_001277615,170
GCA_000779715,60
GCA_001891285,147
GCA_001677695,117
GCA_001030285,8
GCA_002245055,13
GCA_001012005,163
GCA_002109905,17
GCA_001609315,135
GCA_000780135,105
GCA_000778785,63
GCA_002243985,8
GCA_001938625,6
GCA_001285725,204
GCA_002087455,17
GCA_000779815,116
GCA_000782735,99
GCA_001894125,142
GCA_002222535,1
GCA_001057385,185
GCA_000779955,86
GCA_001281845,183
GCA_000780475,127
GCA_001615625,182
GCA_002223545,178
GCA_000780175,97
GCA_000780195,61
GCA_000780235,83
GCA_001310005,179
GCA_001575945,96
GCA_001571565,54
GCA_000779995,86
GCA_002166185,186
GCA_002152145,7
GCA_002156845,3
GCA_000781195,58
GCA_002144065,129
GCA_002116715,3
GCA_002192275,4
GCA_002244925,7
GCA_001309835,181
GCA_002078295,1
GCA_001030245,11
GCA_001644725,2
GCA_001902675,3
GCA_001262855,138
GCA_001616615,69
GCA_000779655,110
GCA_000782295,106
GCA_000782375,105
GCA_000988465,1
GCA_002307655,149
GCA_001891525,124
GCA_002166505,165
GCA_001890345,2
GCA_002207085,71
GCA_001891555,119
GCA_001309985,194
GCA_002244735,106
GCA_001618345,2
GCA_001268245,172
GCA_001575355,86
GCA_001051135,1
GCA_001901445,4
GCA_000781935,95
GCA_002207125,86
GCA_001616905,90
GCA_001615705,65
GCA_002244125,8
GCA_002244155,13
GCA_001284485,167
GCA_001890265,2
GCA_001576075,139
GCA_002165095,13
GCA_001886535,6
GCA_001032735,13
GCA_001309715,200
GCA_001283865,88
GCA_001544635,1
GCA_000780075,98
GCA_001892435,283
GCA_002442015,89
GCA_001558995,2
GCA_001057065,164
GCA_000782415,140
GCA_001571665,65
GCA_000780615,94
GCA_001285685,150
GCA_001677855,158
GCA_001566675,2
GCA_000781385,99
GCA_000779775,110
GCA_002166715,115
GCA_002244615,12
GCA_001575865,93
GCA_001571675,41
GCA_001276585,1
GCA_001865905,6
GCA_000780395,87
GCA_000782435,155
GCA_000779005,90
GCA_001900515,2
GCA_000813165,3
GCA_001563415,204
GCA_001607355,96
GCA_001575475,117
GCA_001286345,91
GCA_001677615,114
GCA_001566335,1
GCA_001182805,63
GCA_000779615,120
GCA_002244115,19
GCA_002057355,1
GCA_001890285,2
GCA_001309465,280
GCA_001280405,2
GCA_001890225,2
GCA_001012085,57
GCA_002245075,24
GCA_002165005,122
GCA_001607685,143
GCA_002243825,4
GCA_001999185,1
GCA_001608165,150
GCA_000780555,137
GCA_001575715,97
GCA_001890305,2
GCA_001285705,138
GCA_002109945,74
GCA_002243735,18
GCA_000782355,163
GCA_001575535,110
GCA_002012045,6
GCA_002011945,9
GCA_000780095,73
GCA_001894585,189
GCA_002144055,133
GCA_001894645,102
GCA_001893395,129
GCA_000779875,62
GCA_002163655,1
GCA_001039205,33
GCA_001677495,2
GCA_002244235,17
GCA_001893605,116
GCA_001601605,93
GCA_001577325,3
GCA_001029125,7
GCA_001742485,129
GCA_001865295,2
GCA_000780995,84
GCA_001309595,98
GCA_001901405,2
GCA_001910475,186
GCA_000800765,1
GCA_002442005,79
GCA_000782815,128
GCA_001562835,142
GCA_001892835,127
GCA_001617195,60
GCA_002109775,56
GCA_000780435,159
GCA_001283265,176
GCA_000782655,100
GCA_001575515,117
GCA_001281905,230
GCA_001753485,2
GCA_000780755,62
GCA_000806255,142
GCA_002206765,148
GCA_002087785,3
GCA_002310575,2
GCA_002317775,67
GCA_001957215,76
GCA_001593565,6
GCA_001269065,86
GCA_000781805,99
GCA_002153015,20
GCA_002317705,118
GCA_001078015,110
GCA_001309905,185
GCA_001284945,134
GCA_002087505,9
GCA_001284625,114
GCA_001970105,70
GCA_001742575,119
GCA_002166645,158
GCA_000781895,134
GCA_001020945,1
GCA_001609335,174
GCA_001284105,134
GCA_001575625,103
GCA_001609255,118
GCA_001606705,105
GCA_000781755,82
GCA_001865185,51
GCA_000953515,1
GCA_001900435,1
GCA_001559615,1
GCA_000779675,74
GCA_001616785,102
GCA_002024905,17
GCA_000974535,1
GCA_001283245,121
GCA_000974575,1
GCA_002243905,5
GCA_000981485,1
GCA_001030545,9
GCA_001677645,116
GCA_001284225,175
GCA_000779545,141
GCA_001608285,109
GCA_001576545,143
GCA_001953095,4
GCA_001509675,183
GCA_001612495,2
GCA_001442595,80
GCA_001576395,97
GCA_001651725,139
GCA_001283905,108
GCA_001651695,135
GCA_001753465,2
