assembly_id_simp,Contig_number,assembly_id,organism_name,organism_name_breed,strain,cultivar,ecotype,isolate,annotation_name,seq_length,assembly_level,release_date,wgs_project,contig_n50,scaffold_n50,sequencing_tech,submitter,bioproject,biosample,genes,protein_coding_genes,pseudogenes,checkM_marker_set,checkM_completeness,checkM_contamination
GCA_000692695,15,GCA_000692695.1,Escherichia coli CHS 68,NA,CHS 68,NA,NA,NA,Annotation submitted by Broad Institute,5276584,Scaffold,2014-05-19T00:00:00Z,NA,704233,2930783,Illumina,Broad Institute,PRJNA234237,SAMN02581370,5060,4963,1,Escherichia coli,98.45,0.79
GCA_000407965,18,GCA_000407965.1,Escherichia coli KTE36,NA,KTE36,NA,NA,NA,Annotation submitted by Broad Institute,5318624,Scaffold,2013-06-04T00:00:00Z,NA,202058,600093,Illumina,Broad Institute,PRJNA157625,SAMN00847671,5178,5081,1,Escherichia coli,98.97,0.56
GCA_000008865,3,GCA_000008865.2,Escherichia coli O157:H7 str. Sakai,NA,Sakai substr. RIMD 0509952,NA,NA,NA,Annotation submitted by GIRC,5594605,Complete Genome,2018-06-08T00:00:00Z,NA,5498578,5498578,NA,GIRC,PRJNA226,SAMN01911278,5375,5113,136,Escherichia coli,99.51,0.15
GCA_000461075,13,GCA_000461075.1,Escherichia coli UMEA 3264-1,NA,UMEA 3264-1,NA,NA,NA,Annotation submitted by Broad Institute,5210973,Scaffold,2013-08-29T00:00:00Z,NA,259218,1367870,Illumina,Broad Institute,PRJNA186334,SAMN01885943,4898,4809,1,Escherichia coli,99.23,0.22
GCA_000488415,125,GCA_000488415.1,Escherichia coli 907710,NA,907710,NA,NA,NA,Annotation submitted by Washington University,4780859,Scaffold,2013-10-29T00:00:00Z,NA,45535,193518,Illumina,Washington University,PRJNA183808,SAMN02436877,5006,4899,NA,Escherichia coli,98.79,0.5
GCA_000303835,539,GCA_000303835.2,Escherichia coli NE037,NA,NE037,NA,NA,NA,Annotation submitted by Institute for Genome Sciences,5471649,Scaffold,2012-10-12T00:00:00Z,NA,115961,140570,Illumina,Institute for Genome Sciences,PRJNA65833,SAMN00794583,6017,5916,1,Escherichia coli,99.05,0.25
GCA_000616135,193,GCA_000616135.2,Escherichia coli O121:H19 str. 2011C-3216,NA,2011C-3216,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5213493,Scaffold,2014-04-07T00:00:00Z,NA,135113,135113,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353018,5009,4829,80,Escherichia coli,99.07,0.34
GCA_000460715,6,GCA_000460715.1,Escherichia coli UMEA 3199-1,NA,UMEA 3199-1,NA,NA,NA,Annotation submitted by Broad Institute,4916137,Scaffold,2013-08-29T00:00:00Z,NA,222503,3559511,Illumina,Broad Institute,PRJNA186314,SAMN01885924,4722,4629,1,Escherichia coli,98.88,0.19
GCA_000622755,212,GCA_000622755.2,Escherichia coli O26:H11 str. 2009C-3689,NA,2009C-3689,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5267417,Scaffold,2014-04-09T00:00:00Z,NA,100197,102615,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02352936,5061,4861,97,Escherichia coli,99.17,0.68
GCA_000614215,198,GCA_000614215.2,Escherichia coli O121:H19 str. 2011C-3108,NA,2011C-3108,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5142917,Scaffold,2014-04-07T00:00:00Z,NA,122006,122316,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353016,4926,4739,82,Escherichia coli,99.26,0.7
GCA_000458765,11,GCA_000458765.1,Escherichia coli HVH 185 (4-2876639),NA,HVH 185 (4-2876639),NA,NA,NA,Annotation submitted by Broad Institute,5213627,Scaffold,2013-08-29T00:00:00Z,NA,288312,1579288,Illumina,Broad Institute,PRJNA186211,SAMN01885824,4928,4836,1,Escherichia coli,99.21,0.38
GCA_000457165,14,GCA_000457165.1,Escherichia coli HVH 82 (4-2209276),NA,HVH 82 (4-2209276),NA,NA,NA,Annotation submitted by Broad Institute,5331638,Scaffold,2013-08-29T00:00:00Z,NA,246322,2867517,Illumina,Broad Institute,PRJNA186104,SAMN01885731,5099,5004,1,Escherichia coli,99.31,0.48
GCA_000408285,18,GCA_000408285.1,Escherichia coli KTE226,NA,KTE226,NA,NA,NA,Annotation submitted by Broad Institute,5136539,Scaffold,2013-06-04T00:00:00Z,NA,352987,661789,Illumina,Broad Institute,PRJNA163465,SAMN00974081,4803,4720,1,Escherichia coli,99.06,0.53
GCA_000418735,166,GCA_000418735.2,Escherichia coli AB42554418-isolate1,NA,AB42554418-isolate1,NA,NA,NA,NA,5016789,Scaffold,2013-07-08T00:00:00Z,NA,100958,200016,Illumina,The Genome Institute,PRJNA203078,SAMN02436903,NA,NA,NA,Escherichia coli,99.36,0.92
GCA_000267765,429,GCA_000267765.2,Escherichia coli PA28,NA,PA28,NA,NA,NA,Annotation submitted by Institute for Genome Sciences,5402274,Scaffold,2012-06-15T00:00:00Z,NA,115120,121958,Illumina,Institute for Genome Sciences,PRJNA65869,SAMN02435926,5799,5705,NA,Escherichia coli,99.56,0.15
GCA_000458235,11,GCA_000458235.1,Escherichia coli HVH 150 (4-3258106),NA,HVH 150 (4-3258106),NA,NA,NA,Annotation submitted by Broad Institute,5143542,Scaffold,2013-08-29T00:00:00Z,NA,223177,3217924,Illumina,Broad Institute,PRJNA186182,SAMN01885795,4806,4720,1,Escherichia coli,99.48,0.35
GCA_000458495,8,GCA_000458495.1,Escherichia coli HVH 164 (4-5953081),NA,HVH 164 (4-5953081),NA,NA,NA,Annotation submitted by Broad Institute,4684494,Scaffold,2013-08-29T00:00:00Z,NA,205650,3414105,Illumina,Broad Institute,PRJNA186196,SAMN01885809,4416,4320,1,Escherichia coli,99.46,0.3
GCA_000614885,182,GCA_000614885.2,Escherichia coli O157:H7 str. 2010C-4979C1,NA,2010C-4979C1,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5186656,Scaffold,2014-04-07T00:00:00Z,NA,122419,142314,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353007,4888,4712,78,Escherichia coli,99.02,0.15
GCA_000488075,12,GCA_000488075.1,Escherichia coli UMEA 3426-1,NA,UMEA 3426-1,NA,NA,NA,Annotation submitted by Broad Institute,5156218,Scaffold,2013-10-29T00:00:00Z,NA,361337,1303639,Illumina,Broad Institute,PRJNA186352,SAMN01885961,4850,4764,1,Escherichia coli,98.81,0.59
GCA_000316365,427,GCA_000316365.2,Escherichia coli 89.0511,NA,89.0511,NA,NA,NA,Annotation submitted by Institute for Genome Sciences,5301241,Scaffold,2012-12-12T00:00:00Z,NA,105434,121807,Illumina,Institute for Genome Sciences,PRJNA65595,SAMN01041328,5675,5581,3,Escherichia coli,99.51,0.15
GCA_000752915,277,GCA_000752915.1,Escherichia coli,NA,E. coli,NA,NA,NA,NA,5321694,Scaffold,2014-09-06T00:00:00Z,NA,92006,100517,NA,NTNU,PRJEB6447,SAMEA2593957,NA,NA,NA,Escherichia coli,99.31,0.71
GCA_000351525,4,GCA_000351525.1,Escherichia coli KTE56,NA,KTE56,NA,NA,NA,Annotation submitted by Broad Institute,4826050,Scaffold,2013-04-05T00:00:00Z,NA,191962,4774129,Illumina,Broad Institute,PRJNA164869,SAMN00854615,4579,4489,1,Escherichia coli,98.97,0.19
GCA_000233895,1,GCA_000233895.1,Escherichia coli str. 'clone D i14',NA,clone D i14,NA,NA,NA,"Annotation submitted by TEDA School of Biological Sciences and Biotechnology, Nankai University",5038386,Complete Genome,2011-11-03T00:00:00Z,NA,5038386,5038386,NA,"TEDA School of Biological Sciences and Biotechnology, Nankai University",PRJNA52023,SAMN02603903,5049,4919,20,Escherichia coli,99.24,0.21
GCA_000618245,193,GCA_000618245.1,Escherichia coli O157:H7 str. H2495,NA,H2495,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5332957,Scaffold,2014-04-08T00:00:00Z,NA,144824,148160,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02353084,5061,4910,54,Escherichia coli,99.51,0.15
GCA_000303495,425,GCA_000303495.2,Escherichia coli EC1849,NA,EC1849,NA,NA,NA,Annotation submitted by Institute for Genome Sciences,5356742,Scaffold,2012-10-12T00:00:00Z,NA,94501,114640,Illumina,Institute for Genome Sciences,PRJNA65957,SAMN00808708,5689,5589,3,Escherichia coli,99.51,0.15
GCA_000457795,14,GCA_000457795.1,Escherichia coli HVH 122 (4-6851606),NA,HVH 122 (4-6851606),NA,NA,NA,Annotation submitted by Broad Institute,5328570,Scaffold,2013-08-29T00:00:00Z,NA,499812,902551,Illumina,Broad Institute,PRJNA186144,SAMN01885771,5115,5012,1,Escherichia coli,98.99,0.71
GCA_000261385,13,GCA_000261385.1,Escherichia coli B799,NA,B799,NA,NA,NA,Annotation submitted by Broad Institute,5393412,Scaffold,2012-08-10T00:00:00Z,NA,236398,1426546,Illumina,Broad Institute,PRJNA38929,SAMN02596895,5203,5114,1,Escherichia coli,99.56,0.31
GCA_000351125,12,GCA_000351125.1,Escherichia coli KTE208,NA,KTE208,NA,NA,NA,Annotation submitted by Broad Institute,5355119,Scaffold,2013-04-05T00:00:00Z,NA,253306,726648,Illumina,Broad Institute,PRJNA163429,SAMN00974063,5120,5043,1,Escherichia coli,98.66,0.73
GCA_000460055,16,GCA_000460055.1,Escherichia coli UMEA 3053-1,NA,UMEA 3053-1,NA,NA,NA,Annotation submitted by Broad Institute,5202484,Scaffold,2013-08-29T00:00:00Z,NA,296595,836829,Illumina,Broad Institute,PRJNA186280,SAMN01885890,4866,4769,1,Escherichia coli,98.88,0.36
GCA_000304055,372,GCA_000304055.2,Escherichia coli 5412,NA,5412,NA,NA,NA,Annotation submitted by Institute for Genome Sciences,5381042,Scaffold,2012-10-12T00:00:00Z,NA,98924,121451,Illumina,Institute for Genome Sciences,PRJNA65991,SAMN02435973,5728,5637,NA,Escherichia coli,99.28,0.15
GCA_000471165,414,GCA_000471165.1,Escherichia coli M7,NA,M7,NA,NA,NA,NA,5275519,Scaffold,2013-09-24T00:00:00Z,NA,92103,114904,Illumina,"Department of Pediatrics, Washington University School of Medicine",PRJNA215830,SAMN02335246,NA,NA,NA,Escherichia coli,99.08,0.15
GCA_000622595,269,GCA_000622595.2,Escherichia coli O26:H11 str. 2009C-3996,NA,2009C-3996,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5493116,Scaffold,2014-04-09T00:00:00Z,NA,92214,104012,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02352939,5364,5169,78,Escherichia coli,99.45,0.73
GCA_000316405,360,GCA_000316405.2,Escherichia coli 90.0039,NA,90.0039,NA,NA,NA,Annotation submitted by Institute for Genome Sciences,5366097,Scaffold,2012-12-12T00:00:00Z,NA,114866,142131,Illumina,Institute for Genome Sciences,PRJNA65599,SAMN01041329,5815,5726,NA,Escherichia coli,99.25,0.15
GCA_000458315,9,GCA_000458315.1,Escherichia coli HVH 155 (4-4509048),NA,HVH 155 (4-4509048),NA,NA,NA,Annotation submitted by Broad Institute,5272080,Scaffold,2013-08-29T00:00:00Z,NA,651823,3591830,Illumina,Broad Institute,PRJNA186187,SAMN01885800,5030,4936,1,Escherichia coli,98.99,0.74
GCA_000459815,8,GCA_000459815.1,Escherichia coli KOEGE 68 (182a),NA,KOEGE 68 (182a),NA,NA,NA,Annotation submitted by Broad Institute,5057814,Scaffold,2013-08-29T00:00:00Z,NA,618480,4357008,Illumina,Broad Institute,PRJNA186268,SAMN01885878,4709,4596,1,Escherichia coli,99.05,0.28
GCA_000026285,2,GCA_000026285.2,Escherichia coli S88,NA,S88,NA,NA,NA,Annotation submitted by Genoscope,5166121,Complete Genome,2008-12-18T00:00:00Z,NA,5032268,5032268,NA,Genoscope,PRJNA33375,SAMEA3138231,5196,4832,159,Escherichia coli,99.07,0.46
GCA_000220005,6,GCA_000220005.2,Escherichia coli UMNF18,NA,UMNF18,NA,NA,NA,Annotation submitted by University of Minnesota,5635305,Complete Genome,2011-11-01T00:00:00Z,NA,5239207,5239207,454 GS FLX; Titanium,University of Minnesota,PRJNA48455,SAMN02471895,5792,5628,46,Escherichia coli,98.61,0.37
GCA_000351585,20,GCA_000351585.1,Escherichia coli KTE60,NA,KTE60,NA,NA,NA,Annotation submitted by Broad Institute,5070788,Scaffold,2013-04-05T00:00:00Z,NA,352414,659044,Illumina,Broad Institute,PRJNA164877,SAMN00854619,4756,4664,2,Escherichia coli,99.22,0.55
GCA_000267285,422,GCA_000267285.2,Escherichia coli EC4436,NA,EC4436,NA,NA,NA,Annotation submitted by Institute for Genome Sciences,5411936,Scaffold,2012-06-15T00:00:00Z,NA,87860,106747,Illumina,Institute for Genome Sciences,PRJNA65933,SAMN02435985,5774,5681,1,Escherichia coli,99.46,0.15
GCA_000617365,106,GCA_000617365.2,Escherichia coli O79:H7 str. 06-3501,NA,584906,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5089833,Scaffold,2014-04-07T00:00:00Z,NA,161915,230877,Illumina HiSeq 2000,CDC,PRJNA218110,SAMN02352906,4812,4688,35,Escherichia coli,99.53,0.68
GCA_000352805,9,GCA_000352805.1,Escherichia coli KTE194,NA,KTE194,NA,NA,NA,Annotation submitted by Broad Institute,5156046,Scaffold,2013-04-05T00:00:00Z,NA,244055,1558233,Illumina,Broad Institute,PRJNA163401,SAMN00974049,4848,4764,1,Escherichia coli,99.16,0.43
GCA_000690815,2,GCA_000690815.1,Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775,NA,DSM 30083,NA,NA,NA,NA,5038133,Scaffold,2014-05-13T00:00:00Z,NA,2571994,4906844,454-GS-FLX-Titanium; Illumina GAII,DOE Joint Genome Institute,PRJNA50621,SAMN00718807,NA,NA,NA,Escherichia coli,99.07,0.5
GCA_000456605,19,GCA_000456605.1,Escherichia coli HVH 39 (4-2679949),NA,HVH 39 (4-2679949),NA,NA,NA,Annotation submitted by Broad Institute,5077179,Scaffold,2013-08-29T00:00:00Z,NA,352291,538186,Illumina,Broad Institute,PRJNA186071,SAMN01885701,4781,4682,1,Escherichia coli,98.99,0.22
GCA_000019425,1,GCA_000019425.1,Escherichia coli str. K-12 substr. DH10B,NA,K-12 substr. DH10B,NA,NA,NA,Annotation submitted by University of Wisconsin-Madison,4686137,Complete Genome,2008-03-14T00:00:00Z,NA,4686137,4686137,NA,University of Wisconsin-Madison,PRJNA20079,SAMN02604262,4357,4126,74,Escherichia coli,97.14,0.15
GCA_000351225,16,GCA_000351225.1,Escherichia coli KTE216,NA,KTE216,NA,NA,NA,Annotation submitted by Broad Institute,5309892,Scaffold,2013-04-05T00:00:00Z,NA,259392,559885,Illumina,Broad Institute,PRJNA163445,SAMN00974071,5096,4999,1,Escherichia coli,98.87,0.91
GCA_000351285,7,GCA_000351285.1,Escherichia coli KTE228,NA,KTE228,NA,NA,NA,Annotation submitted by Broad Institute,5235232,Scaffold,2013-04-05T00:00:00Z,NA,251218,5031549,Illumina,Broad Institute,PRJNA163469,SAMN00974083,4894,4811,1,Escherichia coli,98.94,0.71
GCA_000460835,21,GCA_000460835.1,Escherichia coli UMEA 3212-1,NA,UMEA 3212-1,NA,NA,NA,Annotation submitted by Broad Institute,5378085,Scaffold,2013-08-29T00:00:00Z,NA,135132,863759,Illumina,Broad Institute,PRJNA186320,SAMN01885930,5235,5129,1,Escherichia coli,98.53,0.7
